TX_ID,BLOCK_TIMESTAMP,SENDER,RECEIVER,TRANSFER_TYPE,AMOUNT,PRICE,PROJECT_NAME,CURRENCY
1DF35A5EDDB813F3E0EF5F912AE0AD06D215D98A5D5A258A7539D5483B80C4CD,2022-06-07 23:31:01.360,osmo1zg453l326xgrk5nm2prru4teqkym8zc9pe5r0z,regen1zg453l326xgrk5nm2prru4teqkym8zc9kqv005,IBC_TRANSFER_OUT,0.356072,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
C04F40203ECB83A82705856E855AFB39C6346DAE0CA3D942C0CBF5A129C2893E,2022-06-07 21:18:32.110,osmo1wfw3cdg5uvt0r5lawxr300lpthj48wx23f9y2q,regen1wfw3cdg5uvt0r5lawxr300lpthj48wx2xsag2k,IBC_TRANSFER_OUT,0.92914,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
6A43661936CB847BA3750771A4C85B3ABD4B75DCFD127BB932F14E2B2A614204,2022-06-07 20:39:07.931,osmo1wfw3cdg5uvt0r5lawxr300lpthj48wx23f9y2q,regen1wfw3cdg5uvt0r5lawxr300lpthj48wx2xsag2k,IBC_TRANSFER_OUT,0.93512,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
47C0838C028AC41AAF9F4B03BC34019B5DB0EBABD5457F443FB477C6E714C32B,2022-06-07 18:53:01.000,osmo103v3wy2qccy47jxvnsnxvj3r2lhxcfavn50n9a,regen103v3wy2qccy47jxvnsnxvj3r2lhxcfavydhl9t,IBC_TRANSFER_OUT,38,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
AD18F27AA8B6A9CD036957044EF84A0DDFF2D9BE4CC2744E2701B6651626C369,2022-06-07 19:05:33.704,osmo1ppetwac9lsc20wjn94fvr36kdcuxqkp07nm5x0,regen1ppetwac9lsc20wjn94fvr36kdcuxqkp0f2rcxe,IBC_TRANSFER_OUT,10,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
61CEA21A4506BE3148FECD9B0FC184C42413948A94EBD24C7BCF66E1BD1C597E,2022-06-07 18:51:19.970,osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,regen13av8hh4pf6j4dchagt04wnw8vdjzr0ez6ueh88,IBC_TRANSFER_OUT,11.175,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
A39E79BFB8DF04F4FD4B831F35A1D604B22014A07247E25D279BB6E645FA3B3F,2022-06-07 18:25:43.603,osmo1lgu66ly24wz0x95hkhuzny754hfm9pkucqhxkc,regen1lgu66ly24wz0x95hkhuzny754hfm9pku0e02kw,IBC_TRANSFER_OUT,35.32437,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
863D24648AE5C40EFAD59DFEF79A8D7EFC53F32F055832B2AAA8BE2917491126,2022-06-07 19:50:53.325,osmo10qx8j604ll0tkzvel704z97hukwsmfmy3ttyf9,regen10qx8j604ll0tkzvel704z97hukwsmfmyxjngfn,IBC_TRANSFER_OUT,0.003,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
0DFD74E4BDD2EA05E23EFF07E14BE476B6AD854674C71CE39C368A6A98C91076,2022-06-08 00:02:07.499,osmo19lexqfkg95hn8ffe2qyxl3404vr2t6uvj6xp8q,regen19lexqfkg95hn8ffe2qyxl3404vr2t6uv9r7d8k,IBC_TRANSFER_OUT,11.261465,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
644CADE45A37896DE8F5BA25462A3FFF0BD68A9A375F08316C8AA559066C3120,2022-06-08 01:41:50.457,osmo1tmz2udgyp33tsgdlwkqpm4x350fgm96aydvnrt,regen1tmz2udgyp33tsgdlwkqpm4x350fgm96an55lra,IBC_TRANSFER_OUT,2.021799,0.3026629062,REGEN,ibc/1DCC8A6CB5689018431323953344A9F6CC4D0BFB261E88C9F7777372C10CD076
48CF2B9BA616E9E6F3DB823F388AA756FA1082C8089B54928C2C0201CCED7EAB,2022-06-08 02:20:29.705,osmo1ex7v2j98m0lxr5h6ecdmky9tvxep4fah4hkuzt,juno1ex7v2j98m0lxr5h6ecdmky9tvxep4faht7xhn9,IBC_TRANSFER_OUT,21.58873,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
FA5E786C3CD9601647B7AC5BFEC7EF9390B18381B345E4CAD83A59273254DBE6,2022-06-08 02:25:39.287,osmo1jl73mvf0zjv7rwg79s8ng9xdlql8c06mk8z4pd,juno1jl73mvf0zjv7rwg79s8ng9xdlql8c06mgwj7sr,IBC_TRANSFER_OUT,13,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
7B9D1CD9599D1BF516A6533E7E0AC60F6FE9876E9D583F1C2CB07E13C3F0EAE2,2022-06-08 01:07:55.255,osmo1c7c8un9v8th406gv6x40nna45pc3gn40gr0dre,juno1c7c8un9v8th406gv6x40nna45pc3gn40k2lxjh,IBC_TRANSFER_OUT,2.162744,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
82FB082F95FFC75710FC54C79414963B6DED25024C870B70EBB7605AC83D3E3B,2022-06-08 02:38:08.472,osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,juno1cl3swpzudwjpwmswcjldfz8gt2p3zy4wadazhw,IBC_TRANSFER_OUT,1997.852732,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
1770A7BEA8B3C419B7D415C2B5D44FFB443E0C593310DDD52DCEB9CE5C2BD4D8,2022-06-08 00:43:54.411,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,juno18qx59wy8s3ytax3e0akna934e86mw776jkje6w,IBC_TRANSFER_OUT,263.037044,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
C69ACB286B143808C36E6BE57EA44E0107E3BC62BAC08EF52159B3623FE6AC06,2022-06-07 19:24:46.996,osmo13ml8ncuzcecwq5mxpk2n3lef8pckr588s67mtd,juno13ml8ncuzcecwq5mxpk2n3lef8pckr588wnws6r,IBC_TRANSFER_OUT,0.777006,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
556E393855738AE32DD01C983531EBD6B0877CC4E345D44A0C6AAEFC26DD0E5F,2022-06-07 19:34:48.303,osmo1urn0pnx8fl5kt89r5nzqd8htruq7skadc2xdk3,juno1urn0pnx8fl5kt89r5nzqd8htruq7skadxrkx8l,IBC_TRANSFER_OUT,0.34815,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
7E533C2214AC8F126A7C8F72438E855CBD684FCC57C513E5D971A6F40F1F15BF,2022-06-07 21:58:05.018,osmo17329x9x02qepkaqfx8rpyvn2x0pp5v3f7w3qtt,juno17329x9x02qepkaqfx8rpyvn2x0pp5v3fq8pt69,IBC_TRANSFER_OUT,3.037052,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
E0A2DEB6393E5673DB906BE0A451A80D1A8D95E216E7B9F5F1D5919B90984129,2022-06-08 01:43:23.137,osmo1ucnayk6wfhhhuy4n392av40sj8getfvq9ssp3h,juno1ucnayk6wfhhhuy4n392av40sj8getfvqmeq2qe,IBC_TRANSFER_OUT,9.209166,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
D5281498CB2FFE601AABECDC70F568DED1CF918F4BAD37276C45AABA8C264EB1,2022-06-08 01:05:21.339,osmo15z2r3y9e75gzjpad3tj66y6vngxqz5zpl0ar8q,juno15z2r3y9e75gzjpad3tj66y6vngxqz5zppxdgkw,IBC_TRANSFER_OUT,59.50713,3.57204698,JUNO,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
